epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,4111.76,0.55976,0.84878,0.51107,0.9639,0.8953,0.87793,0.94269,0.8489,0.8917,0.86005,0.92518,0.67446,0.42357,0.59757,0.42962,0.89233,0.00035,0.00035,0.00035
102,4152.32,0.54051,0.82089,0.50148,0.95999,0.88756,0.86167,0.93422,0.83603,0.8979,0.84977,0.92039,0.671,0.43623,0.62973,0.45063,0.90262,0.0003335,0.0003335,0.0003335
103,4192.59,0.53215,0.81287,0.49595,0.94649,0.86282,0.8785,0.93301,0.83373,0.87835,0.86737,0.92004,0.67082,0.43771,0.6278,0.45124,0.89751,0.000317,0.000317,0.000317
104,4233.13,0.51904,0.76891,0.47946,0.93927,0.88274,0.87324,0.94241,0.84965,0.93411,0.8392,0.93338,0.69693,0.41768,0.58978,0.42154,0.8935,0.0003005,0.0003005,0.0003005
105,4274.4,0.57074,0.89783,0.52843,0.97299,0.91566,0.85329,0.9455,0.85181,0.91692,0.85446,0.93339,0.68447,0.42056,0.58176,0.40688,0.89368,0.000284,0.000284,0.000284
106,4314.75,0.53352,0.78097,0.49114,0.95336,0.89623,0.86502,0.94494,0.84617,0.91998,0.85681,0.93123,0.68354,0.43592,0.58558,0.40531,0.89076,0.0002675,0.0002675,0.0002675
107,4355,0.53708,0.80299,0.49305,0.95125,0.90319,0.86502,0.94621,0.84871,0.90559,0.86691,0.93477,0.70282,0.4333,0.57973,0.40269,0.89096,0.000251,0.000251,0.000251
108,4396.27,0.53862,0.82214,0.50466,0.95855,0.86897,0.90023,0.94428,0.85063,0.86783,0.89906,0.92856,0.68977,0.41185,0.58624,0.4105,0.88613,0.0002345,0.0002345,0.0002345
109,4436.67,0.53561,0.8187,0.49899,0.9505,0.88941,0.87791,0.94306,0.84863,0.90176,0.8662,0.92621,0.67996,0.41715,0.58507,0.41597,0.88727,0.000218,0.000218,0.000218
110,4477.11,0.54984,0.83608,0.50719,0.963,0.88301,0.88146,0.94211,0.84358,0.88722,0.87089,0.92614,0.67853,0.4269,0.58313,0.41944,0.88862,0.0002015,0.0002015,0.0002015
111,4586.54,0.47205,0.70039,0.46783,0.90527,0.90812,0.85681,0.94543,0.84698,0.91024,0.8439,0.93019,0.68042,0.41267,0.57676,0.41118,0.88593,0.000185,0.000185,0.000185
112,4625.84,0.46979,0.68752,0.464,0.92136,0.88769,0.87089,0.94385,0.85026,0.89037,0.85798,0.92571,0.67739,0.40886,0.58099,0.41264,0.8885,0.0001685,0.0001685,0.0001685
113,4665.04,0.46924,0.68513,0.45436,0.92035,0.90731,0.86167,0.94557,0.85334,0.9036,0.85814,0.92767,0.6844,0.40767,0.57425,0.41044,0.88916,0.000152,0.000152,0.000152
114,4704.51,0.45729,0.67148,0.44416,0.91704,0.91484,0.85737,0.94418,0.85033,0.9166,0.85136,0.92986,0.69273,0.41313,0.57927,0.40797,0.89051,0.0001355,0.0001355,0.0001355
115,4744.58,0.4518,0.67829,0.44277,0.90787,0.89311,0.87793,0.94479,0.8506,0.89226,0.87911,0.93093,0.68906,0.41318,0.57892,0.40823,0.88567,0.000119,0.000119,0.000119
116,4783.78,0.45465,0.67375,0.43868,0.89942,0.88533,0.87897,0.94667,0.85467,0.88408,0.87728,0.92801,0.67058,0.40744,0.57856,0.39934,0.88388,0.0001025,0.0001025,0.0001025
117,4823.04,0.45689,0.67939,0.44608,0.90742,0.88486,0.88395,0.94721,0.85358,0.88836,0.87441,0.92711,0.66482,0.41068,0.58237,0.40453,0.88295,8.6e-05,8.6e-05,8.6e-05
118,4862.36,0.44455,0.65573,0.43225,0.89748,0.89003,0.88263,0.9457,0.8521,0.88857,0.87977,0.92706,0.66232,0.41105,0.58064,0.40733,0.88315,6.95e-05,6.95e-05,6.95e-05
119,4901.71,0.45328,0.65326,0.43845,0.91572,0.90419,0.87207,0.94573,0.85059,0.89985,0.86268,0.92524,0.67037,0.40512,0.57949,0.40632,0.88067,5.3e-05,5.3e-05,5.3e-05
120,4940.95,0.43784,0.65104,0.42906,0.88987,0.89926,0.86854,0.94694,0.85492,0.89903,0.86033,0.92723,0.6799,0.40132,0.57791,0.40393,0.88113,3.65e-05,3.65e-05,3.65e-05
