epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1827.29,0.61683,0.94657,0.5754,0.95819,0.90452,0.85094,0.94183,0.83524,0.91973,0.86064,0.93594,0.68658,0.45607,0.60843,0.44343,0.85958,0.0005645,0.0005645,0.0005645
89,1847.77,0.58906,0.87282,0.53693,0.93955,0.89351,0.85675,0.93719,0.82974,0.91308,0.86305,0.93089,0.67679,0.47647,0.63623,0.44661,0.86695,0.000548,0.000548,0.000548
90,1868.19,0.56303,0.81716,0.51977,0.93287,0.89059,0.85987,0.93918,0.83549,0.91149,0.84614,0.9316,0.68356,0.44981,0.60515,0.44882,0.85728,0.0005315,0.0005315,0.0005315
91,1888.8,0.57917,0.86139,0.51638,0.92577,0.87196,0.87927,0.9431,0.8347,0.91802,0.85329,0.93292,0.68401,0.46489,0.61169,0.44238,0.86056,0.000515,0.000515,0.000515
92,1909.3,0.60434,0.90574,0.54191,0.94811,0.88704,0.86737,0.94061,0.8369,0.90321,0.87324,0.93404,0.67628,0.45171,0.61243,0.44436,0.8603,0.0004985,0.0004985,0.0004985
93,1929.71,0.60603,0.91835,0.54859,0.95001,0.91213,0.84859,0.94265,0.83144,0.91212,0.8649,0.93552,0.68079,0.47768,0.6265,0.43808,0.86795,0.000482,0.000482,0.000482
94,1950.36,0.6197,0.94735,0.56027,0.95323,0.90332,0.84742,0.94335,0.83415,0.91244,0.85915,0.93545,0.68421,0.45977,0.61249,0.43974,0.8662,0.0004655,0.0004655,0.0004655
95,1970.94,0.60454,0.90272,0.56064,0.95167,0.85985,0.87676,0.93454,0.82238,0.88748,0.8702,0.9288,0.67647,0.47301,0.61915,0.46052,0.8717,0.000449,0.000449,0.000449
96,1991.37,0.57418,0.83729,0.52957,0.93351,0.90867,0.86417,0.94361,0.82727,0.91541,0.86368,0.93654,0.68179,0.49073,0.62117,0.44084,0.86652,0.0004325,0.0004325,0.0004325
97,2011.85,0.60967,0.92876,0.56356,0.95231,0.91559,0.85798,0.9464,0.83791,0.91935,0.8615,0.93818,0.70547,0.45142,0.60257,0.43607,0.86101,0.000416,0.000416,0.000416
98,2032.51,0.60184,0.92342,0.56672,0.95043,0.90722,0.8662,0.94576,0.84008,0.91358,0.86972,0.93947,0.70885,0.44768,0.59856,0.43556,0.85903,0.0003995,0.0003995,0.0003995
